identifier,commonName,legalName,description,slogan,website,location,state,taxID,webgenerator
lexingtonobserver,Lexington Observer,"Lexington Observer, Inc.",No IRS filings yet; formed in 2021; 2022 revenue from board minutes.  Has a new corporate partner program: https://lexobserver.org/product/local-business-2023/,"",https://lexobserver.org/,Lexington,MA,87-4640985,""
mainemonitor,The Maine Monitor,Maine Center for Public Interest Reporting,"The Maine Monitor delivers fearless, citizen-supported, nonpartisan journalism that keeps Mainers informed.",The Maine Monitor: A nonprofit digital newsroom,https://themainemonitor.org/,Hallowell,ME,27-2623867,""
marbleheadcurrent,Marblehead Current,"Marblehead News Group, Inc.",Formed summer 2022; Approx gross budget taken from their Donate page.,"",https://marbleheadcurrent.org/,Marblehead,MA,88-2367192,""
matternews_org,Matter News,Grey Matter Media LLC,"Local, investigative, nonprofit news for central Ohio. ",,https://www.matternews.org/,Columbus,OH,83-1410912,
minnpost_com,MinnPost,MinnPost,MinnPost is a nonprofit news organization providing high quality journalism for people who care about Minnesota.,,https://minnpost.com,Minneapolis,MN,26-0573427,
missionlocal_org,Mission Local,Mission Local,"Reporting on San Francisco's most critical issues: police reform, corruption, education, public health, housing and homelessness.",Local news for a global city,https://missionlocal.org/,San Francisco,CA,88-3177547,"[""Site Kit by Google 1.118.0""]"
montanafreepress_org,Montana Free Press,Montana Free Press,"Fact-based news and data reporting from Montana's leading digital-first newsroom. Independent, reader-supported journalism in the public interest.",Montana's independent nonprofit news source.,https://montanafreepress.org/,Helena,MT,47-5237719,"[""Site Kit by Google 1.118.0""]"
montclairlocal_news,Montclair Local News,Montclair Local Nonprofit News Inc,Latest Comments,"Montclair News, Sports, Arts, Culture, Restaurants and More",https://montclairlocal.news/,Montclair,NJ,83-3801012,"[""Site Kit by Google 1.118.0""]"
mountainstatespotlight_org,Mountain State Spotlight,Mountain State Spotlight,"An independent, civic news organization telling stories of importance to West Virginians about the issues and challenges facing their communities.","An independent, civic news organization for West Virginia",https://mountainstatespotlight.org/,Charleston,WV,85-1154363,"[""Site Kit by Google 1.118.0""]"
nancyonnorwalk,Nancy On Norwalk,"Chapman Hyperlocal Media, Inc.",,,https://www.nancyonnorwalk.com/,Norwalk,CT,46-5509772,""
natickreport,Natick Report,SWELLESLEY REPORT INC,,"More than you really want to know about Natick, Mass.",https://www.natickreport.com/,Natick,MA,,""
newbedfordlight,New Bedford Light,"New Bedford Voice, Inc.",12 voting board members; founded by a VC investor.,Illuminating our community with public service journalism.,https://newbedfordlight.org/,New Bedford,MA,86-2407296,""
newtonbeacon,Newton Beacon,"Newton News Foundation, Inc.",,"Independent, nonprofit, and nonpartisan.",https://www.newtonbeacon.org/,Newton,MA,88-2058638,""
nmindepth_com,New Mexico In Depth,New Mexico In Depth Inc,Smart. Investigative. Journalism for New Mexico.,,https://nmindepth.com/,Rio Rancho,NM,45-4011138,
nowkalamazoo_com,NowKalamazoo,"The Local Journalism Foundation, Inc.","NowKalamazoo is a local, independent news startup publishing important stories of Kalamazoo County, Michigan.",,https://nowkalamazoo.org/,Kalamazoo,MI,93-2232138,
objectivejournalism_org,"Objective, The",Institute for Nonprofit News,The Objective is a nonprofit publication examining systems of power and inequity in journalism.,,https://objectivejournalism.org/,Ames,IA,27-2614911,
oklahomawatch_org,Oklahoma Watch,Oklahoma Watch Inc,Support Oklahoma Watch Democracy Criminal Justice Race & Equity Education The Vulnerable Podcasts,No Favorites No Falsehoods No Fear,https://oklahomawatch.org/,Oklahoma City,OK,27-3721498,"[""Site Kit by Google 1.118.0""]"
otisobserver,Otis Observer,Otis Observer,"The Otis Observer, staffed by volunteers and funded by individuals and businesses, is published 11 times a year with a combined January-February issue.",,https://otisobserver.com/,Otis,MA,47-3575404,""
rochesterbeacon_com,Rochester Beacon,Rochester Beacon Inc.,"The Rochester Beacon explores the complex challenges facing Rochester, New York, through narrative journalism, analysis and opinion grounded in facts.",,https://rochesterbeacon.com/,Rochester,NY,83-1431746,
searchlightnm_org,Searchlight New Mexico,Searchlight New Mexico,Featured Stories Want to see more? Click here to view our full archive.,Independent Investigative Journalism,https://searchlightnm.org/,Santa Fe,NM,81-3234552,"[""Site Kit by Google 1.118.0""]"
sheffiledtimes,Sheffield Times,Sheffield Association Inc.,"Produces a bimonthly printed paper, distributed at businesses, etc.",,https://www.sheffieldtimes.org/,Sheffield,MA,04-3568232,""
sierranevadaally_org,The Sierra Nevada Ally,Sierra Nevada Ally,"",,https://sierranevadaally.org/,Reno,NV,85-0858979,
southsideweekly_com,South Side Weekly,South Side Weekly NFP,"Community newspaper by and for Chicago's South Side. Arts, Culture, Politics. Est. 2013.",Chicago Local News,https://southsideweekly.com/,Chicago,IL,47-1766522,"[""WordPress 6.4.2"", ""Site Kit by Google 1.118.0"", ""AMP Plugin v2.5.0; mode=standard""]"
swellesleyreport,Swellesley Report,SWELLESLEY REPORT INC,,"More than you really want to know about Wellesley, Mass.",https://theswellesleyreport.com/,Wellesley,MA,,""
tewskburycarnation,Tewskbury Carnation,Tewskbury Carnation,,"Local news, insights and events from Tewksbury, Massachusetts",https://tewksburycarnation.org/,Tewksbury,MA,,""
texastribune_org,The Texas Tribune,Texas Tribune Inc,"We envision a Texas where every Texan is empowered with the civic information they need to become full participants in our democracy. We believe that a more engaged, better informed, more civically aware Texas will help bring about a healthier, better educated, more productive, more prosperous and more equitable Texas.",Independent news. Trusted by Texans.,https://www.texastribune.org/,Austin,TX,26-4527097,""
theaustinbulldog_org,"Austin Bulldog, The",Austin Investigative Reporting Project,"",Nonprofit investigative reporting in the public interest,https://theaustinbulldog.org/,Austin,TX,27-0231463,
thebuckeyeflame_com,"Buckeye Flame, The",The Buckeye Flame,"Launched in June of 2020 as a 501c3 nonprofit newsroom, The Buckeye Flame is filling the lack of a statewide LGBTQ+ news and views platform in Ohio.",,https://thebuckeyeflame.com/,Cleveland,OH,85-0805098,
thedailycatch_org,"Red Hook Daily Catch, The",The Red Hook Daily Catch Inc,The non-profit digital newspaper for the Upstate New York towns of Red Hook and Rhinebeck.,,https://www.thedailycatch.org/,Red Hook,NY,87-0873194,
thelensnola_org,The Lens NOLA,The Lens,More News About the Lens The Lens aims to engage and empower the residents of New Orleans and the Gulf Coast. We provide the information and analysis necessary to advocate for more accountable and just governance. Who’s Behind The Lens?,In-depth news and investigations for New Orleans,https://thelensnola.org/,New Orleans,LA,27-2072772,"[""WordPress 6.4.2"", ""Site Kit by Google 1.116.0""]"
thelocalreporter_press,The Local Reporter,"Friends of Local Journalism, Corp.","Serving Chapel Hill, Carrboro, and Southern Orange County.",,https://thelocalreporter.press/,Chapel Hill,NC,83-4390359,"[""All in One SEO (AIOSEO) 4.5.4"", ""WordPress 6.4.2""]"
themarjorie_org,"Marjorie, The",The Marjorie,The Marjorie is Florida’s first and only reporting outlet dedicated to the critical intersection of social justice and the environment.,Reclaim Florida,https://themarjorie.org/,Gainesville,FL,83-2665290,"[""Site Kit by Google 1.116.0""]"
thenevadaindependent_com,The Nevada Independent,"Nevada News Bureau, Inc.","The Nevada Independent is a nonpartisan, nonprofit news and opinion website founded in 2017 by veteran political journalist and commentator Jon Ralston. The site and its supporting channels are focused on ethical, unbiased and transparent journalism. In general, we aim to gather and disseminate important public information and increase civic engagement.",,https://thenevadaindependent.com/,Las Vegas,NV,27-3192716,
therecordnorthshore_org,"Record North Shore, The",Record Community News Group,"An independent, nonprofit local-news site updated every day",,https://www.therecordnorthshore.org/,Wilmette,IL,85-1425791,"[""WordPress 6.4.2"", ""Site Kit by Google 1.118.0""]"
theuptake_org,"Uptake, The",The Uptake,"PROJECTS AND PARTNERSHIPS Highlighting ""How Love Won""  ANNOUNCEMENT: ""HOW LOVE WON"" NOW AVAILABLE ON NET EFFECT MEDIA How Love Won: The Fight for Marriage Equality in Minnesota, directed by The…",,https://theuptake.org/,Saint Paul,MN,26-3781377,"[""WordPress 6.4.2""]"
tucsonsentinel_com,Tucson Sentinel,Tucson Investigative Reporting Center Inc,"Tucson Sentinel - Independent nonprofit online news | a smarter Tucson is a better Tucson | Watchdog news, info & commentary",,https://www.tucsonsentinel.com/,Tucson,AZ,47-1106725,
vtdigger,VT Digger,"Vermont Journalism Trust, LTD",,Member-supported journalism. Informing and engaging Vermont.,https://vtdigger.com/,Burlington,VT,27-1553931,""
watertownnews,Watertown News,BREITROSE MEDIA LLC,,Your local news source,https://www.watertownmanews.com/,Watertown,MA,,""
wausaupilotandreview_com,Wausau Pilot & Review,Wausau Pilot and Review Corporation,"Today's Top Stories: Today's Latest Stories: Support Wausau Pilot & Review, a local, nonprofit, independent news organization: Snow Report:",Where LOCALS Look First For News,https://wausaupilotandreview.com/,Wausau,WI,81-4399324,"[""Site Kit by Google 1.118.0""]"
webbcity_net,Webb City Sentinel,Zinc City Sentinel Inc.,"",,https://webbcity.net/,Webb City,MO,85-4307275,"[""WordPress 6.4.2"", ""Elementor 3.18.3; features: e_dom_optimization, e_optimized_assets_loading, e_optimized_css_loading, e_font_icon_svg, additional_custom_breakpoints, block_editor_assets_optimize, e_image_loading_optimization; settings: css_print_method-external, google_font-enabled, font_display-auto""]"
winchesternews,Winchester News,"Winchester News Group, Inc.",,,https://www.winchesternews.org/,Winchester,MA,,""
yourarlington,Your Arlington,"YourArlington.org, Inc.",,"News and Views from Arlington, MA",https://yourarlington.com/,Arlington,MA,87-1248884,""
